episode_order,film_key,movie_title,viewers,respondents,view_rate_pct
1,the_phantom_menace,Episode I: The Phantom Menace,673,1186,56.75
2,attack_of_the_clones,Episode II: Attack of the Clones,571,1186,48.15
3,revenge_of_the_sith,Episode III: Revenge of the Sith,550,1186,46.37
4,a_new_hope,Episode IV: A New Hope,607,1186,51.18
5,the_empire_strikes_back,Episode V: The Empire Strikes Back,758,1186,63.91
6,return_of_the_jedi,Episode VI: Return of the Jedi,738,1186,62.23
