planet_name,brand_atmosphere,experience_concept
Tatooine,"aventura, origen, desierto y nostalgia",Pop-up retro o ruta de inicio
Hoth,"batalla, supervivencia y accion",Experiencia inmersiva de mision
Dagobah,"entrenamiento Jedi, misterio y sabiduria",Escape room o entrenamiento
Coruscant,"ciudad futurista, tecnologia y escala",Instalacion tecnologica
Naboo,"estetica visual, elegancia y lifestyle",Colaboracion lifestyle
Endor,"naturaleza, comunidad y aventura familiar",Evento familiar y exterior
