respondent_id,has_seen_any_star_wars_film,has_seen_any_star_wars_film_binary,is_star_wars_fan,is_star_wars_fan_binary,fan_segment,total_movies_seen,movie_consumption_segment,has_complete_movie_ranking,which_character_shot_first,is_familiar_with_expanded_universe,is_familiar_with_expanded_universe_binary,is_expanded_universe_fan,is_expanded_universe_fan_binary,is_star_trek_fan,is_star_trek_fan_binary,gender,age,household_income,education,location_census_region,has_demographic_info,average_character_opinion_score,audience_type,audience_type_order
3292202220.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,18-29,"$0 - $24,999",high school degree,pacific,1,,Territorio neutral,4
3292189580.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,yes,1.0,male,30-44,"$50,000 - $99,999",some college or associate degree,west north central,1,0.7142857142857143,Jedi fiel,1
3292187343.0,yes,1,no,0.0,not_fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,male,18-29,"$50,000 - $99,999",some college or associate degree,pacific,1,0.5833333333333334,Explorador casual,3
3292186608.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,yes,1.0,male,30-44,"$50,000 - $99,999",graduate degree,pacific,1,,Territorio neutral,4
3292178389.0,yes,1,yes,1.0,fan,4,medium_consumption,1,greedo,no,0.0,,,yes,1.0,male,18-29,"$50,000 - $99,999",bachelor degree,mountain,1,1.1428571428571428,Rebelde nostalgico,2
3292176862.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,no,0.0,no,0.0,male,18-29,,high school degree,south atlantic,1,1.0714285714285714,Jedi fiel,1
3292173922.0,yes,1,yes,1.0,fan,6,high_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,male,30-44,"$50,000 - $99,999",some college or associate degree,west south central,1,1.6428571428571428,Jedi fiel,1
3292167131.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,no,0.0,no,0.0,male,18-29,"$25,000 - $49,999",high school degree,new england,1,0.8571428571428571,Jedi fiel,1
3292162057.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,male,18-29,"$100,000 - $149,999",some college or associate degree,mountain,1,1.1538461538461535,Jedi fiel,1
3292161407.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,18-29,,high school degree,west south central,1,,Territorio neutral,4
3292156614.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,18-29,"$150,000+",bachelor degree,west south central,1,1.5714285714285714,Jedi fiel,1
