respondent_id,movie_code,has_seen_movie,movie_title,film_key,episode_order
3292879998.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292879538.0,seen_episode_i_the_phantom_menace,0,Episode I: The Phantom Menace,the_phantom_menace,1
3292765271.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292763116.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292731220.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292719380.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292684787.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292663732.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292654043.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292640424.0,seen_episode_i_the_phantom_menace,0,Episode I: The Phantom Menace,the_phantom_menace,1
3292637870.0,seen_episode_i_the_phantom_menace,0,Episode I: The Phantom Menace,the_phantom_menace,1
3292635062.0,seen_episode_i_the_phantom_menace,0,Episode I: The Phantom Menace,the_phantom_menace,1
3292609214.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292596911.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292587240.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292583038.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292580516.0,seen_episode_i_the_phantom_menace,0,Episode I: The Phantom Menace,the_phantom_menace,1
3292572872.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292565282.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292562297.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292522349.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292521066.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292511801.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292483200.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292465491.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292447974.0,seen_episode_i_the_phantom_menace,0,Episode I: The Phantom Menace,the_phantom_menace,1
3292420123.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292384040.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292380493.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292376985.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
