dataset,rows,columns,duplicate_rows,duplicate_names,total_missing,missing_pct
characters,112,14,0,0.0,231,14.73
films,11,8,0,,0,0.0
planets,26,17,0,0.0,74,16.74
species,39,12,0,0.0,37,7.91
starships,56,21,0,0.0,122,10.37
vehicles,21,19,0,1.0,24,6.02
quotes,89,6,0,,0,0.0
weapons,57,12,0,0.0,30,4.39
droids,14,13,0,0.0,10,5.49
